Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Squatina lobata Reuss	91.4	89.801	Turonian (Upper)	Czech Republic	Tethys	Tethys	49.7439047	15.3381061	Wiese et al. (2004)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Cederstroemia muelleri	93.9	89.801	Turonian	Czech Republic	Tethys	Tethys	49.3725903	14.9599829	Reuss (1846b), Fritsch (1878)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Cretorectolobus sp.	113	100.501	Albian	France	Tethys	Tethys	46.603354	1.8883335	Landemaine (1991)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Squatina mülleri & Cretorectolobus sp.	113	110.201	Albian (Lower)	France	Tethys	Tethys	48.6371125	4.9473513	Biddle (1993)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Cederstroemia sp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.7145725	0.2050544	Vullo et al. (2007)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Cederstroemia sp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9609834	-0.8223663	Vullo et al. (2007); Landemaine (1991)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Squatina mülleri & Cretorectolobus sp.	110.2	107.601	Albian (Middle)	France	Tethys	Tethys	48.6371125	4.9473513	Biddle (1993)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni		92.9	91.401	Turonian (Middle)	France	Tethys	Tethys	49.59698	4.32453	Guinot et al. (2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia siverssoni	Cederstroemia cf. mülleri	96.2	95.501	Cenomanian (Middle)	France	Tethys	Tethys	48.920125	-1.4446163	Landemaine (1991)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.		86.3	83.601	Santonian	Japan	Central Indo-Pacific	Outside_Tethys	43.04	142.06	Kaneko & Solonin (2024)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.		76.4	72.101	Campanian (Upper)	Russia	Tethys	Tethys	51.28751	45.443054	Ebersole et al. (2022)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.	Cederstroemia cf. siverssoni	100.5	96.201	Cenomanian (Lower)	United Kingdom	Tethys	Tethys	52.1277434	0.0371088	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.	Cederstroemia cf. siverssoni	107.6	100.501	Albian (Upper)	Ukraine	Tethys	Tethys	49.4456591	32.0628991	Sokolskyi & Guinot (2021)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.	Cederstroemia cf. siverssoni	107.6	100.501	Albian (Upper)	Ukraine	Tethys	Tethys	49.4456591	32.0628991	Sokolskyi & Guinot (2021)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.	Cederstroemia cf. siverssoni	107.6	100.501	Albian (Upper)	Ukraine	Tethys	Tethys	49.4456591	32.0628991	Sokolskyi & Guinot (2021)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia sp.	Cederstroemia cf. siverssoni	89.8	86.301	Coniacian	United Kingdom	Tethys	Tethys	54.9526509	-5.9279527	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia triangulata	C; olsoni partim: text-fig.10a,Pl.3 , fig. 2	76.4	72.101	Campanian (Upper)	United States	Western Atlantic	Outside_Tethys	43.2333168	-106.3109913	Case (1987)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia triangulata		83.6	72.101	Campanian	United States	Western Atlantic	Outside_Tethys	47.2791201	-109.7243818	Case (1978) See also Siverson (1995b)
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia ziaensis		86.3	83.601	Santonian	United States	Western Atlantic	Outside_Tethys	34.5802074	-105.996047	Bourdon et al. (2011)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium broennimanni		72.1	66.001	Maastrichtian	Trinidad and Tobago	Western Atlantic	Outside_Tethys	10.7466905	-61.0840075	Casier (1958)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		76.4	72.101	Campanian (Upper)	France	Tethys	Tethys	48.77176	3.8908203	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens	Chiloscyllium sp.	76.4	72.101	Campanian (Upper)	Germany	Tethys	Tethys	53.4234661	8.4665845	Müller (1989); Hübner & Müller (2010)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.7901659	3.6401555	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.7901659	3.6401555	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.9928243	1.8768545	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.9928243	1.8768545	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.5077248	4.0805731	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	50.8820539	-1.3439233	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4892589	-2.5042581	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4892589	-2.5042581	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	50.8787278	-0.8178496	Underwood & Ward (2008); Guinot et al. (2012, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4469993	-1.3452049	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		85.8	83.601	Santonian (Upper)	France	Tethys	Tethys	49.7965307	3.5083744	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		85.8	83.601	Santonian (Upper)	United Kingdom	Tethys	Tethys	51.5447992	-0.6830894	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		85.8	83.601	Santonian (Upper)	United Kingdom	Tethys	Tethys	51.5447992	-0.6830894	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		85.8	83.601	Santonian (Upper)	United Kingdom	Tethys	Tethys	51.4469993	-1.3452049	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium frequens		86.3	83.601	Santonian	United Kingdom	Tethys	Tethys	52.029187	0.8598002	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium gaemersi		76.4	72.101	Campanian (Upper)	Germany	Tethys	Tethys	51.9798596	7.3121673	Müller (1989)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium grandis	Heterodontus aff. rugosus	86.3	83.601	Santonian	United States	Western Atlantic	Outside_Tethys	33.6587217	-91.1506668	Cicimurri et al. (2014)
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium greeni		91.4	89.801	Turonian (Upper)	United States	Western Atlantic	Outside_Tethys	32.7197373	-96.783545	Cappetta & Case (1999); Welton & Farrish (1999)
